d1,d2,d3
18.90050765,17.19425457,23.1655046
17.90970634,15.27306279,22.2706907
32.30452983,30.39328682,26.9095717
12.92421587,5.879718581,9.355165592
19.23189129,21.7716588,21.26380374
21.45995119,20.74598758,21.06762182
19.8160534,18.73778334,18.18531329
9.147099815,12.76281461,10.19674102
9.261085033,8.299895246,11.92164001
29.88635144,28.42378979,30.13541958
17.92218815,17.88348688,21.31256816
31.41014476,26.64011609,33.99995127
12.31392655,13.31960435,11.48408832
11.2786098,10.09505211,8.935076814
24.08405749,20.89504138,21.36676846
20.04577195,20.21617323,22.03052584
9.471613274,11.69258893,14.173465
21.05295662,22.49659957,18.48465172
20.76122161,18.50446728,17.36464499
12.66582015,11.02585964,9.40381433
28.40166261,29.99290876,31.02518927
29.66427827,30.65011486,29.57617415
12.02778486,8.523137637,10.51541334
27.72509654,29.38759197,31.65594929
19.61202082,23.14826294,21.51380094
18.94575147,19.20146366,20.36213483
17.06341553,20.08310555,20.05366298
18.71774801,20.24364254,22.25896782
9.469709199,9.65415656,6.232998553
13.21591424,11.36967298,8.80907934
13.08581863,9.104536616,6.444615328
6.416329532,9.183895683,10.20460439
10.13793961,10.94648278,8.699289955
28.44178609,29.66296012,31.14741844
19.09366279,21.20830728,24.77041163
9.752233342,11.43855027,12.46879897
22.54751186,23.9342035,16.28403627
12.47232806,7.813430542,9.774955685
12.82896545,7.166709997,11.34702691
8.455411153,8.529085716,9.478295779
21.04115267,17.71131722,21.60372206
10.0931346,12.35644489,8.186430994
10.4656646,10.31078653,11.18745031
7.298884569,8.314902578,8.960307094
11.55429304,10.18070236,9.626805051
31.48651714,29.80896829,29.38896202
20.03481882,17.75596254,18.96581108
18.00594634,20.1795442,22.01436122
31.54520668,29.43298535,29.85451224
30.96752128,27.96099865,30.42075504
29.58787518,30.08431088,27.19087878
33.95938105,29.23546907,31.05064016
17.45488249,20.62709544,21.00636963
22.58645177,23.53520191,18.42445252
30.56133015,29.85377459,32.32067714
10.73898543,7.139002773,11.7088858
19.08069652,20.4269489,19.5277486
26.58656947,27.33609667,26.47862288
27.82446698,30.18630078,27.53698213
20.45571506,17.94207903,21.21388066
32.22876595,28.82695212,27.52629325
21.75167786,20.74863781,16.30089769
20.64356494,22.68263566,20.28335037
33.47476935,30.99400602,32.27383796
18.59920299,19.5932111,20.48533888
30.40366036,27.88576093,31.08431455
15.8055188,19.10273873,20.94111919
17.20284354,20.25137966,17.75018878
19.00357287,19.37803004,19.99621703
7.206759151,10.00595799,9.46450729
19.47007864,22.21456446,17.30252696
31.1818055,30.39275995,30.52821442
10.73266403,7.910821236,14.10234689
21.171324,18.40821392,21.44046498
11.59005219,9.251123362,10.26809639
12.40410972,12.64486153,11.96631746
33.25095666,28.50930775,30.84907394
20.15434788,18.24543696,18.26442555
32.21055575,31.36581132,34.80658512
30.52799694,29.82563463,30.58106936
10.87322554,10.07644328,12.980154
31.98677116,29.78532685,34.8849834
12.14505491,9.830983945,9.405276234
29.8172419,32.79801997,32.46692729
9.910216103,10.33072631,10.05508872
8.18265234,8.516562976,11.27731741
20.44511133,19.8133898,22.07311185
28.71733167,31.8898348,30.15050877
19.23902842,20.0227454,17.46239225
21.64916925,21.30916031,19.8976231
33.88515712,30.11443663,25.75220397
18.68265491,22.34845483,21.03706366
23.38123485,19.40507529,19.49480041
30.92971026,30.87633269,32.24465664
13.25075547,11.86888894,13.22705896
33.68525037,32.90285852,28.7639263
20.10089907,20.5699592,18.77069965
20.50786733,21.6644563,19.59854475
19.39442827,20.20120145,21.93069051
32.24857821,29.78001702,30.01709789
